Data Training Analisis Sentimen Pilgun DKI ;;;;
;;;;
;;;;
;;;;
;;;;
No;Tweet;Label;;
277;rt  inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus amp;;;
278;pdip sengaja becah belah rakyat warga dki tidak pilih ahok tekuk t  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
279;pilkada dki jangan pilih pki berbahaya pilih  atau  saja lari saat ditangkap  t  imlek;;;
280;rt  nah gue pikir sentimen petahana oke di  semalam tapi mnrt politicawave malah sebaliknya  ;;;
281;gak ada tipi gak bisa nonton  kuota limit jadi ya gitu gak bisa streaming sama liat yutup ;;;
282;rt  ini artikel yg menjelaskan ternyata di  yg dapet respon positif di socmed adalah aniessandiokoce ;;;
283;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
284;rt  sebelum debat kompak dukung agus  sylvi setelah  makin solid dukung  ;;;
285;kang  jika pemimpin hanya membangun apa bedanya dengan firaun ;;;
286;pilkada dki jangan pilih pki berbahaya pilih  atau  saja menaker setelah sotk ad  imlek;;;
287;rt  kang  jika pemimpin hanya membangun apa bedanya dengan firaun ;;;
288;rt  ini artikel yg menjelaskan ternyata di  yg dapet respon positif di socmed adalah aniessandiokoce ;;;
289;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
290;berfikir  missuniverse loguepilihbadja suzukisaturdays muslimban;;;
291;rt  ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk  ;;;
292;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
293;ogahpilihterdakwa  panik karena terdakwa makin kuat bakal kepilih lagi wkwkwkwk  ;;;
294;rt  ikutan polling ahnsetelah debat kedua siapa pilihan kamu hayo ;;;
295;wah pak  kurang tepat ini datanya ;;;
296;pilkada dki jangan pilih pki berbahaya pilih  atau  saja hujan dan pasang laut di  imlek;;;
297;rt  mpok  salah sebut dg uu no  terkait pengelolaan sampah padahal yg benar uu  ;;;
298;rt  pak anies kesempatan ngomong visi misi malah salamsalamin orang ;;;
299;rt  anies dan agus adalah dua orang yg bermimpi semuanya perfect tdk ada yang salah dan harus menjadi manusia tanpa ;;;
300;rt  tidak bisa dalam waktu  tahun hrs membereskan semuanya karena masih ada yg dalam progres ini bukan sulap ;;;
301;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
302;rt  ketidakberhasilan anies baswedan dalam memimpin kementerian banyak masalah dan belum lagi soal salah hitung ;;;
303;rt  anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak ;;;
304;rt  jangan pilih cagub yg dekat dgn sarang koruptor  ;;;
305;rt  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang ;;;
306;rt  kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin ;;;
307;  ape lo kate tongaye gak ngartikeder guejgn pake bahase nagri  href  for  jul  jan  ;;;
308;rt  inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus amp;;;
309;rt  makin paham siapa ahokdjarot ternyata mrk mmg pekerja sekaligus pemikir handal dg kemampuan multitasking sbg petahana ;;;
310;rt  cagub no  dan  cuma sebagai pelengkap alias penggembiramrka berdua bukan lawan sepadan ahok ;;;
311;pdip sengaja becah belah rakyat warga dki tidak pilih ahok spurs s  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
312;rt  sebelum debat kompak dukung agus  sylvi setelah  makin solid dukung  ;;;
313;rt  retweet please nmenurut anda paslon mana yang paling pantas memimpin jakarta lima tahun kedepan ;;;
314;rt  sebelum debat kompak dukung agus  sylvi setelah  makin solid dukung  ;;;
315;  smoga yg terbaik utk indonesia bagus ;;;
316;rt  ini artikel yg menjelaskan ternyata di  yg dapet respon positif di socmed adalah aniessandiokoce ;;;
317;rt  nah gue pikir sentimen petahana oke di  semalam tapi mnrt politicawave malah sebaliknya  ;;;
318;rt  anies kalo jalan itu badan transportasi adalah pembuluh darah nntapi tetep kopaja ngetem jd kolesterolnya ;;;
319;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
320;rt  retweet please nmenurut anda paslon mana yang paling pantas memimpin jakarta lima tahun kedepan ;;;
321;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
322;rt  tiap ahok djarot ngomong nambah ilmu ya kita  ;;;
323;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
324;menonton debat cagub dki agus masih berkhayal;;;
325;rt  ketidakberhasilan anies baswedan dalam memimpin kementerian banyak masalah dan belum lagi soal salah hitung ;;;
326;rt  anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak ;;;
327;pdip sengaja becah belah rakyat warga dki tidak pilih ahok perinta  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
328;pilkada dki jangan pilih pki berbahaya pilih  atau  saja hujan dan pasang laut di  imlek;;;
329;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
330;rt  bows down to  and  for doing and providing periksadata for ;;;
331;rt  sebelum debat kompak dukung agus  sylvi setelah  makin solid dukung  ;;;
332;rt  para pemujapemuji  kalau msh juga memuji ini keterlaluan mbok ya kalau tugas boleh tapi  ;;;
333;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
334;rt  retweet please nmenurut anda paslon mana yang paling pantas memimpin jakarta lima tahun kedepan ;;;
335;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
336;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
337;pdip sengaja becah belah rakyat warga dki tidak pilih ahok jejak t  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
338;rt  ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk  ;;;
339;pilkada dki jangan pilih pki berbahaya pilih  atau  saja nu dukung polda bali usu  imlek;;;
340;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
341;rt  sylviana kesyikan ngomong sendiri lupa bertanya anies keasyikan nyerang pake  yg salah ya ahok  aja  ;;;
342;rt  meme terbaik awal tahun ini  pecah goks  ahokdjarot ;;;
343;rt  retweet please nmenurut anda paslon mana yang paling pantas memimpin jakarta lima tahun kedepan ;;;
344;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
345;rt  paslon  akan mewujudkan birokrasi jakarta yang bersih dan melayani dengan hati  ;;;
346;rt  meme terbaik awal tahun ini  pecah goks  ahokdjarot ;;;
347;rt  seorang dosen yang seharusnya dikagumi karena cerdas otaknya tapi seketika runtuh karena hobinya menjatuhkan orang ;;;
348;rt  judulnya  di kepungtpi lucunya  menjadi penengah di antara  dan  ahokdjarotpilihan;;;
349;rt  pk anis nyinggung kjp rakyat jkt perlu tau nih justru pk anis itu di copot oleh pk jkw krn ngurus kip gk berhasil ;;;
350;rt  mengacungkan jari kebawah termasuk bagian dari rasis dan itu dilakukan paslon  menurut sy itu attitude yg kurang ;;;
351;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
352;  kirain cm sy yg ngrasa pas  senyumnya sinis saat paslon  sdg bicara mana brkacak pinggang ;;;
353;jakarta di tangan koh ahok  denny siregar  imlek  gong xi fa cai debatpilgubdki djarot;;;
354;rt  terbukti ucapan ahok bhw kementerian  dapat raport paling buruk di peringkat  n;;;
355;sby dengan gusdurnsby dengan megawatinsby dengan jusuf kallanpolitik manakah yg di gunakan sbynmenolaklupa  indonesia;;;
356;rt  pasca  kena batunya  dibentak kapolres jakarta selatan karena bikin macet jalann;;;
357;pdip sengaja becah belah rakyat warga dki tidak pilih ahok liverpo  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
358;rt  apa cuma gue doang tiap paslon  ngomong volume langsung gue gedein sedangkan paslon  ngomong langsung dikecilin lagi  ;;;
359;ini harga perberita wartawan yang dipelihara oleh pdip  ;;;
360;di tinggal ahok cuti jakarta semakin kacauuparahh  ;;;
361;pilkada dki jangan pilih pki berbahaya pilih  atau  saja pdip usai nonton debat  imlek;;;
362;rt  fakta  calm and  emotionalnnsantun belongs to paslon  ;;;
363;rt  ini yg gue bilang yg hebat di tim  itu cuma tukang fotonya coba zoom orangnya dikit kebyakan  ;;;
364;rt  dulu mengidolakan anies skrg jujur knapa anies jd karakter jahat ada yg ngerasa sama apa cmn gw ;;;
365;rt  pengen tau apa tanggapan  dan  kalau  gak perlu ditanya ntar ngak  ;;;
366;rt  lah lu monolog sejam yg dihadiri  lu sendiri  knp gak dijelaskan ngeles aja emg gak  ;;;
367;rt  anies dan agus adalah dua orang yg bermimpi semuanya perfect tdk ada yang salah dan harus menjadi manusia tanpa ;;;
368;rt  ini harga perberita wartawan yang dipelihara oleh pdip  ;;;
369;rt  sylviana kesyikan ngomong sendiri lupa bertanya anies keasyikan nyerang pake  yg salah ya ahok  aja  ;;;
370;rt  kebohongan telah di tebar  segala cara dilakukan dulu orang ini aku kagumi  ;;;
371;rt  mpok  salah sebut dg uu no  terkait pengelolaan sampah padahal yg benar uu  ;;;
372;  haha trus kreatif bgmn yg anda mksd gusgeser dikit  href  for  okto  oct  basuki  b ;;;
373;rt  ini artikel yg menjelaskan ternyata di  yg dapet respon positif di socmed adalah aniessandiokoce ;;;
374;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
375;rt  paslon  gak ngerti brarti nyerang npaslon  yg penting jakarta majunpaslon  yg penting banyak  ;;;
376;rt  kocak nih kompilasinya  ;;;
377;belum jd gubernur saja kelakuan sdh norak  didebat ngomongin kemacetan tp lu sndri bikin macet ;;;
378;ya itulah mental baru sekelas danramil berlagak jenderal ;;;
379;rt  terbukti ucapan ahok bhw kementerian  dapat raport paling buruk di peringkat  n;;;
380;rt  anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak ;;;
381;rt  anies dan agus adalah dua orang yg bermimpi semuanya perfect tdk ada yang salah dan harus menjadi manusia tanpa ;;;
382;rt  pak anies kesempatan ngomong visi misi malah salamsalamin orang ;;;
383;rt  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang ;;;
384;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
385;rt  nah gue pikir sentimen petahana oke di  semalam tapi mnrt politicawave malah sebaliknya  ;;;
386;rt  kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin ;;;
387;rt  pasca  kena batunya  dibentak kapolres jakarta selatan karena bikin macet jalann;;;
388;rt  ketidakberhasilan anies baswedan dalam memimpin kementerian banyak masalah dan belum lagi soal salah hitung ;;;
389;rt  anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak ;;;
390;membandingkan ntb dengan dki jakarta apa pantas padahal kita  tahu jika mau membandingan sesuatu harus ;;;
391;rt  inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus amp;;;
392;rt  tidak bisa dalam waktu  tahun hrs membereskan semuanya karena masih ada yg dalam progres ini bukan sulap ;;;
393;rt  jangan pilih cagub yg dekat dgn sarang koruptor  ;;;
394;rt  sylviana kesyikan ngomong sendiri lupa bertanya anies keasyikan nyerang pake  yg salah ya ahok  aja  ;;;
395; jempol kbawah dpermasalahkan bad attitude katanya lalu ngomong taik good attitude lisan buruk bukti hati jg buruk;;;
396;iki lucu tenan ;;;
397;rt  inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus amp;;;
398; orang baik itu terlihat dari perbuatan dan lisan yg baik bukan dari mulut kotor apalagi menista;;;
399; ahoksumberkegaduhan;;;
400;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
401;rt  jangan pilih cagub yg dekat dgn sarang koruptor  ;;;
402;rt  ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk  ;;;
403;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
404;  smoga yg terbaik utk indonesia baik ;;;
405;rt  sibeye semoga di tahun ayam rooster ini pasangan nomer  menang pilkada hore  ;;;
406;rt  jelas pk ahok paling brkemampuan jd gubernurnklo yg kalian prmslahkan itu pribadinyakalian cuma gak kenal sjaasli ;;;
407;pak ahok sudah tepat pake data  dr kompas  jg benar juga tp pak anis sudah tdk menjabat menteri  ;;;
408;rt  di tinggal ahok cuti jakarta semakin kacauuparahh  ;;;
409;rt  anies dan agus adalah dua orang yg bermimpi semuanya perfect tdk ada yang salah dan harus menjadi manusia tanpa ;;;
410;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
411;rt  inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus amp;;;
412;rt  tidak bisa dalam waktu  tahun hrs membereskan semuanya karena masih ada yg dalam progres ini bukan sulap ;;;
413;rt  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang ;;;
414;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
415;rt  anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak ;;;
416;rt  ketidakberhasilan anies baswedan dalam memimpin kementerian banyak masalah dan belum lagi soal salah hitung ;;;
417;rakyat jakarta kok byk yg milih paslon  ya smp ada di urutan  gitu pdhl msh naif amp;;;
418;rt  kirain cm sy yg ngrasa pas  senyumnya sinis saat paslon  sdg bicara mana ;;;
419;rt  tidak bisa dalam waktu  tahun hrs membereskan semuanya karena masih ada yg dalam progres ini bukan sulap ;;;
420;rt  anies dan agus adalah dua orang yg bermimpi semuanya perfect tdk ada yang salah dan harus menjadi manusia tanpa ;;;
421;rt  anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak ;;;
422;rt  ketidakberhasilan anies baswedan dalam memimpin kementerian banyak masalah dan belum lagi soal salah hitung ;;;
423;rt  ketidakberhasilan anies baswedan dalam memimpin kementerian banyak masalah dan belum lagi soal salah hitung ;;;
424;rt  anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak ;;;
425;nu garda depan perang ideologi melawan ancaman ajaran wahabikhilafah fpihti  ;;;
426;rt  apa cuma gue doang tiap paslon  ngomong volume langsung gue gedein sedangkan paslon  ngomong langsung dikecilin lagi  ;;;
427;rt  paslon  gak ngerti brarti nyerang npaslon  yg penting jakarta majunpaslon  yg penting banyak  ;;;
428;rt  mengacungkan jari kebawah termasuk bagian dari rasis dan itu dilakukan paslon  menurut sy itu attitude yg kurang ;;;
429;rt  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang ;;;
430;rt  skak mat untuk mpok silvi si mpok langsung acung ibu jempol ke bawah duhh jaga etika mpok malu ditonton ;;;
431;rt  buruk attitude bu sylvi dengar jawaban pak ahok buat gestur jempol ke bawah wow  ;;;
432;rt  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang ;;;
433;rt  kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin ;;;
434;rt  para pemujapemuji  kalau msh juga memuji ini keterlaluan mbok ya kalau tugas boleh tapi  ;;;
435;rt  cara paslon  bertanya ke paslon  seperti sedang mengadu domba didepan jutaan pasang mata tanpa ;;;
436;rt  mpok  salah sebut dg uu no  terkait pengelolaan sampah padahal yg benar uu  ;;;
437;rt  inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus amp;;;
438;rt  statement agus yang saya setuju dan dimengerti  bertanya kepada paslon  untuk menyerang no  hahahaha ;;;
439;aduh gw mah malu di kata orang jkt goblok apa  href  for  dec  jan  ;;;
440;pilkada dki jangan pilih pki berbahaya pilih  atau  saja pdip usai nonton debat  imlek;;;
441;rt  phd abal abal sumpah ga respect lagi sama anies baswedan retorika ga ada solusi nyinyir orang  ;;;
442;rt  yg pasti mah mendikbud gagal  ahokdjarothebat  ;;;
443;rt  sebelum debat kompak dukung agus  sylvi setelah  makin solid dukung  ;;;
444;rt  waduh beneran kayaknya data dari ibu susanti  ;;;
445;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
446;menang telak di kandang palace city lolos ke babak keliman;;;
447;rt  bangkee siapa nih yang buat meme seperti ini gw ngakak brutal sampai planet jupiter  ;;;
448;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
449;rt  hanya beliau yg berani menyatakan dirinya pelayan dan akan melayani masy dki sangat mulia terima kasih pak ;;;
450;rt  anies  sunda kelapa tapi mana  ;;;
451;rt  terbukti ucapan ahok bhw kementerian  dapat raport paling buruk di peringkat  n;;;
452;ngeselinitusaat bangun tidur langsung liat  suzukisaturdays jagonganmalioboro ;;;
453; semakin terlihat no  tidak layak memimpin ada yg sdg berselisih malah diketawain dan diadu pula;;;
454;rt  ketidakberhasilan anies baswedan dalam memimpin kementerian banyak masalah dan belum lagi soal salah hitung ;;;
455;rt  anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak ;;;
456;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
457;rt  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang ;;;
458;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
459;rt  kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin ;;;
460;rt  inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus amp;;;
461;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
462;rt  pak anis ini mungkin kalau nongkrong suka ngeledek tapi pas diledek balik diambil hati ;;;
463; pikiran saya  hanya  yg melindungi rakyatnya sdgkan  amp;;;
464;rt  ikhtisar  lu diam gue kasih  lu nikmati gue yang  lu kerja gue yang mimpin;;;
465;rt  akan siapkan pembangunan sistem transportasi dengan transparasi utk menjawab pertanyaan  ;;;
466;rt  anies dan agus adalah dua orang yg bermimpi semuanya perfect tdk ada yang salah dan harus menjadi manusia tanpa ;;;
467;rt  paslon  berangkat dari orang  berangkat dari pengalamannpaslon  berangkat dari ;;;
468;nah sekarang saya bisa membayangkan koruptor dirangkul tikus berpesta rumah kumuh dilukis untung cuma   ;;;
469;rt  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang ;;;
470;rt  tidak bisa dalam waktu  tahun hrs membereskan semuanya karena masih ada yg dalam progres ini bukan sulap ;;;
471;hanya ahok djarot pantas pimpin jakarta  lewat loguepilihbadja  ahok antasari ;;;
472;rt  anies di bibir memutar kata walau kau tuduh ahoklah segala penyebabnya  ;;;
473; allah swt maha tahu yg ada di dlm hati kita amp;;;
474;rt  komitmen paslon  birokrasi dengan semangat melayani publik  ;;;
475;rt  pasca  kena batunya  dibentak kapolres jakarta selatan karena bikin macet jalann;;;
476;pilkada dki jangan pilih pki berbahaya pilih  atau  saja pungli di dinas penanama  imlek;;;
477;pak anies kita paham  tdk ckup buat jkrta sempurna pasti ada kkurngan yg kita lihat itu progress jkt lebih ;;;
478;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
479; gw bisa bayangin demo sepanjang tahun dgn kerugian materilnon materil jika  msh nongol di dki negara tdk kondusif;;;
480;rt  pasca  kena batunya  dibentak kapolres jakarta selatan karena bikin macet jalann;;;
481;rt  kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin ;;;
482;ada yg jadi jd pemimpin  thn nggak jd apa sementara ahok baru  thn sdh merubah jakarta apalagi kalau  href  for  jul  time us  jan  ;;;
483;rt  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang ;;;
484;makin sering debat makin kelihatan karakter dan isi kepala paslon pokoke blt pasti kelar rtrw kasih duit;;;
485;rt  tiap ahok djarot ngomong nambah ilmu ya kita  ;;;
486;rt  meme terbaik awal tahun ini  pecah goks  ahokdjarot ;;;
487;rt  terbukti ucapan ahok bhw kementerian  dapat raport paling buruk di peringkat  n;;;
488;rt  hanya beliau yg berani menyatakan dirinya pelayan dan akan melayani masy dki sangat mulia terima kasih pak ;;;
489;rt  retweet please nmenurut anda paslon mana yang paling pantas memimpin jakarta lima tahun kedepan ;;;
490;rt  lah lu monolog sejam yg dihadiri  lu sendiri  knp gak dijelaskan ngeles aja emg gak  ;;;
491;  smoga yg terbaik utk indonesia best ;;;
492;rt  tidak bisa dalam waktu  tahun hrs membereskan semuanya karena masih ada yg dalam progres ini bukan sulap ;;;
493;rt  ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk  ;;;
494;rt  kembali saya ingatkan siapa punnsekali laginns i a p a p u n nnyang akhirnya menangnnyeezy kemal sudah ;;;
495;rt  kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin ;;;
496;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
497;rt  tidak bisa dalam waktu  tahun hrs membereskan semuanya karena masih ada yg dalam progres ini bukan sulap ;;;
498;hanya ahok djarot pantas pimpin jakarta  lewat loguepilihbadja  ahok antasari ;;;
499;rt  anies di bibir memutar kata walau kau tuduh ahoklah segala penyebabnya  ;;;
500; allah swt maha tahu yg ada di dlm hati kita amp;;;
501;rt  komitmen paslon  birokrasi dengan semangat melayani publik  ;;;
502;rt  pasca  kena batunya  dibentak kapolres jakarta selatan karena bikin macet jalann;;;
503;pilkada dki jangan pilih pki berbahaya pilih  atau  saja pungli di dinas penanama  imlek;;;
504;pak anies kita paham  tdk ckup buat jkrta sempurna pasti ada kkurngan yg kita lihat itu progress jkt lebih ;;;
505;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
506; gw bisa bayangin demo sepanjang tahun dgn kerugian materilnon materil jika  msh nongol di dki negara tdk kondusif;;;
507;rt  pasca  kena batunya  dibentak kapolres jakarta selatan karena bikin macet jalann;;;
508;rt  kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin ;;;
509;ada yg jadi jd pemimpin  thn nggak jd apa sementara ahok baru  thn sdh merubah jakarta apalagi kalau  href  for  jul  time us  jan  ;;;
510;rt  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang ;;;
511;makin sering debat makin kelihatan karakter dan isi kepala paslon pokoke blt pasti kelar rtrw kasih duit ;;;
512;rt  tiap ahok djarot ngomong nambah ilmu ya kita  ;;;
513;rt  meme terbaik awal tahun ini  pecah goks  ahokdjarot ;;;
514;rt  terbukti ucapan ahok bhw kementerian  dapat raport paling buruk di peringkat  n;;;
515;rt  hanya beliau yg berani menyatakan dirinya pelayan dan akan melayani masy dki sangat mulia terima kasih pak ;;;
516;rt  retweet please nmenurut anda paslon mana yang paling pantas memimpin jakarta lima tahun kedepan ;;;
517;rt  lah lu monolog sejam yg dihadiri  lu sendiri  knp gak dijelaskan ngeles aja emg gak  ;;;
518;  smoga yg terbaik utk indonesia best ;;;
519;rt  tidak bisa dalam waktu  tahun hrs membereskan semuanya karena masih ada yg dalam progres ini bukan sulap ;;;
520;rt  ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk  ;;;
521;rt  kembali saya ingatkan siapa punnsekali laginns i a p a p u n nnyang akhirnya menangnnyeezy kemal sudah ;;;
522;rt  kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin ;;;
523;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
524;rt  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang ;;;
525;rt  pikiran saya  hanya  yg melindungi rakyatnya sdgkan  amp;;;
526;rt  kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin ;;;
527;rt  inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus amp;;;
528;rt  dari awal kampanye  kan sudah biasa salah data mulu dan ga perlu kaget kalo over budget  ;;;
529;rt  di tinggal ahok cuti jakarta semakin kacauuparahh  ;;;
530;rt  jelas pk ahok paling brkemampuan jd gubernurnklo yg kalian prmslahkan itu pribadinyakalian cuma gak kenal sjaasli ;;;
531;bergelar phd anies baswedan tidak malu menyerang dgn data;;;
532;rt  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang ;;;
533;rt  anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak ;;;
534;rt  di  ini pak anies berbohong dan tidak pakai  memilih calon yang tidak  ;;;
535;rt  terbukti ucapan ahok bhw kementerian  dapat raport paling buruk di peringkat  n;;;
536;rt  balik lg ke pekerjaan  balik jadi  balik jadi  balik jadi motivator ;;;
537;rt  pak anies nyerang paslon  pakek data tapi ternyata datanya hoax  ;;;
538;rt  highlight tonitennbu silvi  bla bla  anies  terus pertanyaannya apanbu silvi  dasar cowo gak pekann ;;;
539;rt  mau tipu public ya pak  ckckcknkatanya harus jadi teladan ;;;
540;rt  ibu sylvi adalah contoh bahwa wanita itu sulit ditebak dan pak anies contoh pria yg gak peka ;;;
541;rt  at least agus ahok ngomongin visi misi mereka di visi misi bukan nyoba ngejatohin orang ya ;;;
542;rt  pak anies bilang rankingnya salah setelah saya menjabat jadi ranking  klo ranking  kok gak jadi ;;;
543;mulut dengan tangan ta menyakiti orang ;;;
544;rt  anies is showing his true color hes no angel at all no more dreamy words no more wisdom only fury to insult ;;;
545;rt  kali ini pak anies nyebelin dari yang lalu bicaranya kaya ulama sekarang keliatan jadi politikus yang ;;;
546;rt  pak anies ga pernah liat kali ya setiap pagi warga nungguin pak ahok depan kantornya buat nyari solusi permasalahan mereka ;;;
